
Seed: 1702081805

Informe o cenário desejado (1, 2, 3, ou 4): 
Cenário 1 (60%):
-> Taxa de chegada de pessoas (s): 66.4894
-> Tempo medio de servico (s): 120
-> Tempo a ser simulado (s): 864.000
Nova Conexão: 5.835125
Nova Conexão: 5.836584
Nova Conexão: 5.845252
Nova Conexão: 5.878082
Nova Conexão: 5.885707
Nova Conexão: 5.887440
Nova Conexão: 5.936499
Nova Conexão: 5.944337
Nova Conexão: 5.953167
Nova Conexão: 5.965971
Nova Conexão: 5.969632
Nova Conexão: 5.972576
Nova Conexão: 5.978217
Nova Conexão: 5.978852
Nova Conexão: 5.988849
Nova Conexão: 6.003352
Nova Conexão: 6.044754
Nova Conexão: 6.044997
Nova Conexão: 6.050041
Nova Conexão: 6.050821
Nova Conexão: 6.081230
Nova Conexão: 6.087071
Nova Conexão: 6.099343
Nova Conexão: 6.122134
Nova Conexão: 6.139111
Nova Conexão: 6.145144
Nova Conexão: 6.158048
Nova Conexão: 6.168517
Nova Conexão: 6.178328
Nova Conexão: 6.186540
Nova Conexão: 6.241029
Nova Conexão: 6.250261
Nova Conexão: 6.271154
Nova Conexão: 6.276174
Nova Conexão: 6.283318
Nova Conexão: 6.302371
Nova Conexão: 6.312610
Nova Conexão: 6.313782
Nova Conexão: 6.335762
Nova Conexão: 6.336588
Nova Conexão: 6.340107
Nova Conexão: 6.346296
Nova Conexão: 6.379771
Nova Conexão: 6.396601
Nova Conexão: 6.403829
Nova Conexão: 6.409985
Nova Conexão: 6.412143
Nova Conexão: 6.416761
Nova Conexão: 6.421483
Nova Conexão: 6.459469
Nova Conexão: 6.491688
Nova Conexão: 6.525331
Nova Conexão: 6.542392
Nova Conexão: 6.550791
Nova Conexão: 6.576869
Nova Conexão: 6.610229
Nova Conexão: 6.640359
Nova Conexão: 6.665876
Nova Conexão: 6.666924
Nova Conexão: 6.668989
Nova Conexão: 6.682189
Nova Conexão: 6.706677
Nova Conexão: 6.711183
Nova Conexão: 6.725048
Nova Conexão: 6.739457
Nova Conexão: 6.742365
Nova Conexão: 6.744996
Nova Conexão: 6.776312
Nova Conexão: 6.776883
Nova Conexão: 6.781936
Nova Conexão: 6.805024
Nova Conexão: 6.838594
Nova Conexão: 6.846404
Nova Conexão: 6.854259
Nova Conexão: 6.857605
Nova Conexão: 6.895816
Nova Conexão: 7.006196
Nova Conexão: 7.016669
Nova Conexão: 7.040359
Nova Conexão: 7.063588
Nova Conexão: 7.078381
Nova Conexão: 7.114322
Nova Conexão: 7.114803
Nova Conexão: 7.129571
Nova Conexão: 7.130939
Nova Conexão: 7.170797
Nova Conexão: 7.172171
Nova Conexão: 7.183247
Nova Conexão: 7.194649
Nova Conexão: 7.244942
Nova Conexão: 7.254297
Nova Conexão: 7.265169
Nova Conexão: 7.279361
Nova Conexão: 7.298545
Nova Conexão: 7.300470
Nova Conexão: 7.325700
Nova Conexão: 7.335241
Nova Conexão: 7.346682
Nova Conexão: 7.357264
Nova Conexão: 7.369955
Nova Conexão: 7.371028
Nova Conexão: 7.380397
Nova Conexão: 7.386227
Nova Conexão: 7.401955
Nova Conexão: 7.438653
Nova Conexão: 7.451834
Nova Conexão: 7.462233
Nova Conexão: 7.489650
Nova Conexão: 7.491482
Nova Conexão: 7.502325
Nova Conexão: 7.503359
Nova Conexão: 7.562905
Nova Conexão: 7.563650
Nova Conexão: 7.564224
Nova Conexão: 7.580975
Nova Conexão: 7.583343
Nova Conexão: 7.585039
Nova Conexão: 7.619187
Nova Conexão: 7.632750
Nova Conexão: 7.637706
Nova Conexão: 7.640303
Nova Conexão: 7.672567
Nova Conexão: 7.722105
Nova Conexão: 7.744052
Nova Conexão: 7.749005
Nova Conexão: 7.754637
Nova Conexão: 7.768728
Nova Conexão: 7.801030
Nova Conexão: 7.825759
Nova Conexão: 7.829306
Nova Conexão: 7.840598
Nova Conexão: 7.844317
Nova Conexão: 7.894769
Nova Conexão: 7.895742
Nova Conexão: 7.912017
Nova Conexão: 7.913047
Nova Conexão: 7.916552
Nova Conexão: 7.926311
Nova Conexão: 7.943011
Nova Conexão: 7.947305
Nova Conexão: 7.958540
Nova Conexão: 7.963867
Nova Conexão: 7.992795
Nova Conexão: 8.016334
Nova Conexão: 8.017954
Nova Conexão: 8.020210
Nova Conexão: 8.026847
Nova Conexão: 8.031473
Nova Conexão: 8.041141
Nova Conexão: 8.073166
Nova Conexão: 8.089876
Nova Conexão: 8.136507
Nova Conexão: 8.170614
Nova Conexão: 8.171377
Nova Conexão: 8.188385
Nova Conexão: 8.199368
Nova Conexão: 8.228772
Nova Conexão: 8.234973
Nova Conexão: 8.327678
Nova Conexão: 8.334701
Nova Conexão: 8.336793
Nova Conexão: 8.356493
Nova Conexão: 8.387261
Nova Conexão: 8.412120
Nova Conexão: 8.417972
Nova Conexão: 8.427813
Nova Conexão: 8.443049
Nova Conexão: 8.473940
Nova Conexão: 8.504339
Nova Conexão: 8.505930
Nova Conexão: 8.509648
Nova Conexão: 8.530393
Nova Conexão: 8.538979
Nova Conexão: 8.562438
Nova Conexão: 8.566078
Nova Conexão: 8.577526
Nova Conexão: 8.594441
Nova Conexão: 8.621222
Nova Conexão: 8.625709
Nova Conexão: 8.659023
Nova Conexão: 8.665036
Nova Conexão: 8.677847
Nova Conexão: 8.702531
Nova Conexão: 8.712949
Nova Conexão: 8.719811
Nova Conexão: 8.723519
Nova Conexão: 8.727231
Nova Conexão: 8.743583
Nova Conexão: 8.744401
Nova Conexão: 8.745762
Nova Conexão: 8.760139
Nova Conexão: 8.774406
Nova Conexão: 8.806603
Nova Conexão: 8.833860
Nova Conexão: 8.835183
Nova Conexão: 8.854363
Nova Conexão: 8.855925
Nova Conexão: 8.863119
Nova Conexão: 8.883328
Nova Conexão: 8.896327
Nova Conexão: 8.906164
Nova Conexão: 8.923821
Nova Conexão: 8.945535
Nova Conexão: 8.952069
Nova Conexão: 8.976764
Nova Conexão: 8.978097
Nova Conexão: 8.978999
Nova Conexão: 8.997761
Nova Conexão: 9.000059
Nova Conexão: 9.001330
Nova Conexão: 9.006209
Nova Conexão: 9.021559
Nova Conexão: 9.023072
Nova Conexão: 9.028025
Nova Conexão: 9.062612
Nova Conexão: 9.105003
Nova Conexão: 9.121071
Nova Conexão: 9.122301
Nova Conexão: 9.185373
Nova Conexão: 9.189447
Nova Conexão: 9.220095
Nova Conexão: 9.223703
Nova Conexão: 9.224000
Nova Conexão: 9.254520
Nova Conexão: 9.264227
Nova Conexão: 9.271591
Nova Conexão: 9.292520
Nova Conexão: 9.294585
Nova Conexão: 9.295302
Nova Conexão: 9.312526
Nova Conexão: 9.317221
Nova Conexão: 9.323155
Nova Conexão: 9.327548
Nova Conexão: 9.333911
Nova Conexão: 9.361041
Nova Conexão: 9.361492
Nova Conexão: 9.396792
Nova Conexão: 9.411864
Nova Conexão: 9.414646
Nova Conexão: 9.415986
Nova Conexão: 9.425007
Nova Conexão: 9.432615
Nova Conexão: 9.443015
Nova Conexão: 9.443777
Nova Conexão: 9.484691
Nova Conexão: 9.494877
Nova Conexão: 9.501435
Nova Conexão: 9.503475
Nova Conexão: 9.507260
Nova Conexão: 9.535296
Nova Conexão: 9.536132
Nova Conexão: 9.557776
Nova Conexão: 9.559653
Nova Conexão: 9.591843
Nova Conexão: 9.626065
Nova Conexão: 9.666190
Nova Conexão: 9.674911
Nova Conexão: 9.686946
Nova Conexão: 9.715767
Nova Conexão: 9.725745
Nova Conexão: 9.731800
Nova Conexão: 9.800010
Nova Conexão: 9.823837
Nova Conexão: 9.829022
Nova Conexão: 9.842357
Nova Conexão: 9.843533
Nova Conexão: 9.843700
Nova Conexão: 9.857499
Nova Conexão: 9.861506
Nova Conexão: 9.869559
Nova Conexão: 9.878564
Nova Conexão: 9.888383
Nova Conexão: 9.905185
Nova Conexão: 9.931805
Nova Conexão: 9.946775
Nova Conexão: 9.952413
Nova Conexão: 9.957595
Nova Conexão: 9.973244
Nova Conexão: 9.981386
Nova Conexão: 9.983033
Nova Conexão: 9.984204
Nova Conexão: 9.999908
Nova Conexão: 10.000167
Nova Conexão: 10.003795
Nova Conexão: 10.023563
Nova Conexão: 10.030803
Nova Conexão: 10.085758
Nova Conexão: 10.086887
Nova Conexão: 10.120328
Nova Conexão: 10.123176
Nova Conexão: 10.126846
Nova Conexão: 10.136798
Nova Conexão: 10.160060
Nova Conexão: 10.173629
Nova Conexão: 10.174705
Nova Conexão: 10.178270
Nova Conexão: 10.209792
Nova Conexão: 10.213721
Nova Conexão: 10.215432
Nova Conexão: 10.217790
Nova Conexão: 10.218932
Nova Conexão: 10.219247
Nova Conexão: 10.226650
Nova Conexão: 10.244465
Nova Conexão: 10.324195
Nova Conexão: 10.348602
Nova Conexão: 10.355122
Nova Conexão: 10.374241
Nova Conexão: 10.382369
Nova Conexão: 10.388707
Nova Conexão: 10.388886
Nova Conexão: 10.403861
Nova Conexão: 10.411899
Nova Conexão: 10.434879
Nova Conexão: 10.440343
Nova Conexão: 10.447066
Nova Conexão: 10.456203
Nova Conexão: 10.464524
Nova Conexão: 10.474195
Nova Conexão: 10.476194
Nova Conexão: 10.540071
Nova Conexão: 10.557247
Nova Conexão: 10.560866
Nova Conexão: 10.570594
Nova Conexão: 10.589428
Nova Conexão: 10.591315
Nova Conexão: 10.598387
Nova Conexão: 10.612738
Nova Conexão: 10.626854
Nova Conexão: 10.632450
Nova Conexão: 10.638384
Nova Conexão: 10.643560
Nova Conexão: 10.644369
Nova Conexão: 10.659131
Nova Conexão: 10.686246
Nova Conexão: 10.769295
Nova Conexão: 10.786284
Nova Conexão: 10.788877
Nova Conexão: 10.790085
Nova Conexão: 10.801187
Nova Conexão: 10.810311
Nova Conexão: 10.821266
Nova Conexão: 10.828658
Nova Conexão: 10.843175
Nova Conexão: 10.854532
Nova Conexão: 10.890843
Nova Conexão: 10.904661
Nova Conexão: 10.919915
Nova Conexão: 10.957503
Nova Conexão: 10.960489
Nova Conexão: 10.960675
Nova Conexão: 10.973505
Nova Conexão: 11.002336
Nova Conexão: 11.015377
Nova Conexão: 11.022251
Nova Conexão: 11.041474
Nova Conexão: 11.061834
Nova Conexão: 11.077694
Nova Conexão: 11.084665
Nova Conexão: 11.086711
Nova Conexão: 11.090077
Nova Conexão: 11.111358
Nova Conexão: 11.115474
Nova Conexão: 11.124601
Nova Conexão: 11.140691
Nova Conexão: 11.176961
Nova Conexão: 11.202029
Nova Conexão: 11.208701
Nova Conexão: 11.212370
Nova Conexão: 11.225935
Nova Conexão: 11.226548
Nova Conexão: 11.234357
Nova Conexão: 11.246515
Nova Conexão: 11.283012
Nova Conexão: 11.288977
Nova Conexão: 11.315307
Nova Conexão: 11.316505
Nova Conexão: 11.322516
Nova Conexão: 11.379774
Nova Conexão: 11.389416
Nova Conexão: 11.397593
Nova Conexão: 11.403042
Nova Conexão: 11.433478
Nova Conexão: 11.467324
Nova Conexão: 11.481118
Nova Conexão: 11.497685
Nova Conexão: 11.522232
Nova Conexão: 11.530476
Nova Conexão: 11.532559
Nova Conexão: 11.537588
Nova Conexão: 11.544595
Nova Conexão: 11.607488
Nova Conexão: 11.625297
Nova Conexão: 11.647075
Nova Conexão: 11.648636
Nova Conexão: 11.654140
Nova Conexão: 11.668766
Nova Conexão: 11.689530
Nova Conexão: 11.694317
Nova Conexão: 11.707150
Nova Conexão: 11.709280
Nova Conexão: 11.720110
Nova Conexão: 11.725784
Nova Conexão: 11.731051
Nova Conexão: 11.735760
Nova Conexão: 11.770448
Nova Conexão: 11.788073
Nova Conexão: 11.789496
Nova Conexão: 11.792839
Nova Conexão: 11.793705
Nova Conexão: 11.795181
Nova Conexão: 11.820632
Nova Conexão: 11.874864
Nova Conexão: 11.878315
Nova Conexão: 11.881816
Nova Conexão: 11.883712
Nova Conexão: 11.884025
Nova Conexão: 11.888887
Nova Conexão: 11.901475
Nova Conexão: 11.924143
Nova Conexão: 11.926611
Nova Conexão: 11.936363
Nova Conexão: 11.948847
Nova Conexão: 11.952694
Nova Conexão: 11.960955
Nova Conexão: 11.961904
Nova Conexão: 11.977442
Nova Conexão: 11.981401
Nova Conexão: 11.990162
Nova Conexão: 12.019992
Nova Conexão: 12.023642
Nova Conexão: 12.091228
Nova Conexão: 12.105490
Nova Conexão: 12.118216
Nova Conexão: 12.145470
Nova Conexão: 12.145703
Nova Conexão: 12.146135
Nova Conexão: 12.172740
Nova Conexão: 12.173669
Nova Conexão: 12.180276
Nova Conexão: 12.186454
Nova Conexão: 12.286494
Nova Conexão: 12.291723
Nova Conexão: 12.305425
Nova Conexão: 12.321946
Nova Conexão: 12.329240
Nova Conexão: 12.337991
Nova Conexão: 12.339882
Nova Conexão: 12.355172
Nova Conexão: 12.359167
Nova Conexão: 12.359758
Nova Conexão: 12.369105
Nova Conexão: 12.389439
Nova Conexão: 12.405620
Nova Conexão: 12.412041
Nova Conexão: 12.417063
Nova Conexão: 12.425546
Nova Conexão: 12.442008
Nova Conexão: 12.452820
Nova Conexão: 12.462087
Nova Conexão: 12.481421
Nova Conexão: 12.482374
Nova Conexão: 12.486060
Nova Conexão: 12.489766
Nova Conexão: 12.520297
Nova Conexão: 12.526329
Nova Conexão: 12.544458
Nova Conexão: 12.599308
Nova Conexão: 12.600653
Nova Conexão: 12.604839
Nova Conexão: 12.620516
Nova Conexão: 12.622395
Nova Conexão: 12.647322
Nova Conexão: 12.671776
Nova Conexão: 12.672484
Nova Conexão: 12.682951
Nova Conexão: 12.684661
Nova Conexão: 12.725557
Nova Conexão: 12.745956
Nova Conexão: 12.748949
Nova Conexão: 12.762885
Nova Conexão: 12.773868
Nova Conexão: 12.779321
Nova Conexão: 12.799947
Nova Conexão: 12.801956
Nova Conexão: 12.827977
Nova Conexão: 12.838892
Nova Conexão: 12.867518
Nova Conexão: 12.886821
Nova Conexão: 12.902501
Nova Conexão: 12.940013
Nova Conexão: 12.951637
Nova Conexão: 12.970341
Nova Conexão: 12.976815
Nova Conexão: 12.991560
Nova Conexão: 12.992572
Nova Conexão: 12.993203
Nova Conexão: 13.004671
Nova Conexão: 13.005851
Nova Conexão: 13.025815
Nova Conexão: 13.030526
Nova Conexão: 13.084822
Nova Conexão: 13.095179
